Country;Year;19) Museums per 100.000 inhabitants : Museums per 100.000 inhabitants
Austria;2014;
Belarus;2009;1,6
Belgium;2004;
Bulgaria;2015;2,8
Croatia;2014;6,6
Czech Republic;2016;
Denmark;2015;
Estonia;2014;
Finland;2015;6
France;2010;6,1
Germany;2015;
Greece;2007;
Hungary;2013;0,08
Ireland;2014;
Italy;2013;0,76
Latvia;2015;7,5
Lithuania;2016;3,57
Luxembourg;2012;
Macedonia;2009;1,1
Norway;2013;2,5
Poland;2015;2,41
Portugal;2014;3,8
Romania;2007;3,46
Slovak Republic;2003;1,5
Slovenia;2013;
Spain;2014;3,2
Sweden;2015;
Switzerland;2014;14
The Netherlands;2015;4,1
United Kingdom;2012;
