Country,Year,Number of museums according to type of collection : total,Temporary exhibitions : Total,Museums per 100.000 inhabitants : Museums per 100.000 inhabitants,Average number of visits per museum : Average number of visits per museum
Austria,2012,449,  ,"5,3","26831,6"
Belarus,2009,155,2908,"1,6",29589
Belgium,2004,162,  ,  ,37061
Bulgaria,2012,188,2090,"2,6",21840
Croatia,2014,284,1191,"6,6",16800
Czech Republic,2014,486,4207,  ,  
Denmark,2011,281,  ,  ,  
Estonia,2014,256,1792,  ,  
Finland,2014,327,1146,6,16653
France,2010,330,1134,"6,1",15408
Germany,2014,6375,9058,  ,  
Greece,2007,176,  ,  ,  
Hungary,2013,752,  ,"0,08",12145
Ireland,2005,258,  ,  ,  
Italy,2013,459,  ,"0,76",  
Latvia,2014,147,1083,"7,3",20208
Lithuania,2014,104,1796,"3,5",36126
Luxembourg,2011,47,54,  ,  
Macedonia,2009,23,214,"1,1",41616
Norway,2013,127,1066,"2,5",86180
Poland,2014,844,5102,"2,22","36267,05"
Portugal,2011,630,274,"3,8",25636
Romania,2007,748,  ,"3,46","4857,54"
Slovak Republic,2003,85,1141,"1,5",  
Slovenia,2013,  ,1602,  ,  
Spain,2012,1464,3469,"3,2",41535
Sweden,2011,164,  ,"1,74",110255
Switzerland,2014,1142,  ,14,18200
The Netherlands,2013,799,1918,"4,8",33154
United Kingdom,2012,1732,  ,  ,  
